id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
00192e27-b0c7-40e2-84f3-f585598d531d,cometolife.boats,available,1.99,,80,3,12,name.com,,
00344307-6484-45f6-8264-ba150dcbfa60,dropabombshell.boats,available,1.99,,58,0,16,name.com,,
00406d20-eeb3-4d91-bab9-809bd5d6603b,gowithout.boats,available,1.99,,75,1,10,name.com,,
0057897f-07b4-4194-8672-dd2201e50624,ohmygoodness.boats,available,1.99,,50,4,14,name.com,,
005d5173-0f13-4e80-8540-e1580bfa4f17,phases.boats,available,1.99,,54,10,6,name.com,,
00621372-24cf-4ab5-af9e-11f0a176b126,congregational.boats,available,1.99,,56,2,14,name.com,,
00673724-9cd7-40fb-ae51-f0653a4c96c3,blowingup.boats,available,1.99,,64,1,10,name.com,,
00704c2a-fe7b-492d-82d7-a873623efb23,surfers.boats,available,1.99,,57,10,7,name.com,,
007c5cb3-4f65-4c77-9915-418db8f8425f,ifpossible.boats,available,1.99,,64,1,11,name.com,,
009701e3-2074-4562-959c-589533636ae5,markets.boats,available,1.99,,62,29,7,name.com,,
00a44c13-425e-4a5a-9b8e-5dae925339b5,KFC.boats,available,19.98,,74,27,3,namecheap,,
00b92b95-4758-40ef-9da6-28042322371f,getoutside.boats,available,1.99,,79,6,11,name.com,,
012cf655-9f3f-410f-acbf-4725186a8789,modernschool.boats,available,1.99,,48,2,13,name.com,,
01448121-1f2f-463b-9e64-61f533c3b3d6,programmes.boats,available,1.99,,53,4,10,name.com,,
017ce108-dfaf-4324-977f-45c7d4443085,relied.boats,available,1.99,,50,3,6,name.com,,
01a2f08e-3439-4f00-a5a9-4e4c7027cce2,theories.boats,available,1.99,,58,6,8,name.com,,
01b8b214-de7d-4985-96a3-c32cf294b7ad,joggingsuit.boats,available,1.99,,61,1,12,name.com,,
01dcfc5f-87db-4d50-89dc-d2336430b84f,leton.boats,available,1.99,,76,5,6,name.com,,
01ec0830-a9cd-4898-8713-00261840e232,landscaping.boats,available,1.99,,80,16,11,name.com,,
01f4d40d-f067-4a9d-ad09-c6d06f421cc0,getoutofDodge.boats,available,19.98,,62,1,16,namecheap,,
02111ae6-e89e-46c4-b725-460422a449e3,seton.boats,premium,2500,,72,9,6,name.com,,
022bc1df-2e4e-4816-ba64-39052dd142e9,observations.boats,available,1.99,,56,6,12,name.com,,
023a1327-32e6-4eb3-ae42-5aae5bfa5ec2,sorethroat.boats,available,1.99,,64,2,11,name.com,,
02449b89-25ad-4eb9-b345-d42fed919e24,belike.boats,available,1.99,,74,7,7,name.com,,
02541099-c34b-4ae2-b5c5-2e68e949c053,mutualaid.boats,available,1.99,,78,9,10,name.com,,
02802cae-a6a7-4397-ac2a-2bd68e05e0e9,strengths.boats,available,1.99,,62,6,9,name.com,,
02821477-6f4b-4eee-96b6-b4d609cb2578,populations.boats,available,1.99,,50,4,11,name.com,,
028ef6d0-89c4-488d-b8d5-f165c8ef7de1,coffeehousing.boats,available,1.99,,72,1,13,name.com,,
028fc5a6-e8fa-4b21-8c8a-f05ca55538d4,centuries.boats,available,1.99,,56,2,9,name.com,,
02a04953-b462-45d8-95e5-2335a82d94c5,dogstail.boats,available,1.99,,94,1,8,name.com,,
02ac2cd1-6e59-4b23-a9e8-04f5f55afe7d,commonknowledge.boats,available,1.99,,72,5,16,name.com,,
0300c471-57d2-496a-8153-883fab108bfc,additions.boats,available,1.99,,58,4,9,name.com,,
030542f6-d76a-4319-a6c0-6325ee6e88f7,maps.boats,premium,812.5,,56,31,4,name.com,,
030ad9b9-b53f-442e-bca7-33d45acff5ea,semifinal.boats,available,1.99,,72,2,10,name.com,,
032aa60e-0925-4c72-ac1b-2d024c2e0825,newest.boats,available,1.99,,64,12,6,name.com,,
032c6a3b-76a7-4c2b-a580-02c1ea44ef7a,engines.boats,available,1.99,,58,11,7,name.com,,
034735a2-fd6d-454d-9e39-9918a14814ba,gascooker.boats,available,1.99,,52,1,10,name.com,,
0392c0d7-9b95-4a23-8690-c4c382a82f41,cometolight.boats,available,1.99,,68,1,13,name.com,,
03b18969-80fa-4ee9-9f6a-6d49da43828d,CountyofHudson.boats,available,19.98,,44,1,16,namecheap,,
03b62706-ee1f-4a2f-a47c-a2c5848f0f4f,neighbourhood.boats,available,1.99,,70,14,13,name.com,,
03b86d93-cc5d-425d-9880-ac9c7c96de15,tourists.boats,available,1.99,,58,7,8,name.com,,
03c3d339-333a-4096-aa9c-8cd06e75995f,laptops.boats,available,1.99,,56,8,7,name.com,,
040b9f22-2343-41c4-9be2-25bf66818870,photos.boats,premium,812.5,,54,28,6,name.com,,
0430b8ba-c97a-4592-b584-bfd720a5142d,tastes.boats,available,1.99,,52,6,6,name.com,,
04322a58-9237-44f2-8a26-decd555e433b,settlefor.boats,available,1.99,,76,0,10,name.com,,
0439c6bd-859a-4279-bcef-6e0c7f1b403b,VeniceBeach.boats,available,19.98,,56,7,12,namecheap,,
045bbf84-297f-4158-8cb7-db72e9287c21,treatof.boats,available,1.99,,72,1,8,name.com,,
0468f896-4ca7-4304-91ab-31f461e66f78,takethelead.boats,available,1.99,,78,4,13,name.com,,
047d8eed-a08e-40f4-8e2f-30ef4071a6b5,deeppockets.boats,available,1.99,,78,3,12,name.com,,
047ec1c1-b866-41ea-a1a5-6e5ba889f220,dogsledmail.boats,available,1.99,,94,0,12,name.com,,
048afdeb-3fa5-4e96-9136-76fd62cb1da4,dogsick.boats,available,1.99,,90,1,7,name.com,,
0493dfca-450c-4ef7-a2a4-ee353a7b678b,traps.boats,available,1.99,,68,7,5,name.com,,
049efd89-cde9-4a5a-810f-6cbc043950ef,possibilities.boats,available,1.99,,52,7,13,name.com,,
04d6f4e8-ec03-42d6-8efc-a615d83719e5,geton.boats,available,1.99,,82,10,6,name.com,,
04d98010-3648-49b6-a4c9-5547d312fb28,oysters.boats,available,1.99,,57,9,7,name.com,,
04f5cf60-4e29-4523-a056-d3732fb01a85,royalties.boats,available,1.99,,56,9,9,name.com,,
050cbaac-04d1-441f-acdc-a78b9936b77e,lightupon.boats,available,1.99,,72,2,10,name.com,,
051d0914-e2f1-4785-a4c4-36a2a7658b9d,pantihose.boats,available,1.99,,70,2,9,name.com,,
052a8ac0-c2be-42f8-84ee-cd9a2f69eb12,backtofront.boats,available,1.99,,46,3,13,name.com,,
052b3372-988b-413c-8a31-93ba53a86c93,rollover.boats,available,1.99,,75,8,9,name.com,,
053ab309-762c-4ad2-ae65-355896fa248d,units.boats,available,1.99,,56,16,5,name.com,,
055c0ac2-62af-4cfe-91ca-d71a6ae660bd,comeoutin.boats,available,1.99,,70,1,11,name.com,,
055ed940-18fa-4d9c-ab8a-9d20215a3db4,makes.boats,available,1.99,,66,17,5,name.com,,
057da8ec-2ff1-44a6-958b-0a591578cb80,affects.boats,available,1.99,,54,4,7,name.com,,
0584c64b-75bf-4b54-ad0e-d822e5b465fa,childrapist.boats,available,1.99,,38,1,12,name.com,,
0586d96c-788b-40c7-b638-9a788a20bcea,pricecut.boats,available,1.99,,68,5,9,name.com,,
0591bb33-5540-4bfe-8595-f339479930c2,coffeegrounds.boats,available,1.99,,72,2,14,name.com,,
05a835c5-2108-49ea-a8b6-788da60937aa,writes.boats,available,1.99,,56,9,6,name.com,,
05dac250-0e3c-4ce9-98bd-7811ca7b86ef,makeswaves.boats,available,1.99,,60,1,11,name.com,,
05e1c5c5-0c3e-4b40-8091-72455de8a5cd,launched.boats,available,1.99,,65,13,8,name.com,,
060806ba-51a7-4b05-ba39-d0437f614f0a,LongBeach.boats,premium,910,16.94,62,11,10,namecheap,,
0618db42-6cd8-4375-b537-9b25e9a5c1de,onejoke.boats,available,1.99,,70,1,8,name.com,,
061ae4c3-6c88-41e5-aa1b-c9661d56f7a2,makeupremover.boats,available,1.99,,70,2,14,name.com,,
062e94ef-4ef4-4fa4-bea0-d2249105ab30,comeonstrong.boats,available,1.99,,66,2,14,name.com,,
065ebb74-11b7-4d0e-a7ef-f1e8a77e9dcc,parkup.boats,available,1.99,,59,4,7,name.com,,
06777123-24dc-497c-8495-8d61e0b2d905,warned.boats,available,1.99,,54,4,6,name.com,,
068c2e35-8fc7-4fe6-ae76-607748c5c5e1,showered.boats,available,1.99,,63,3,8,name.com,,
